"id.site","hanski.lcp.grasslands.r300","field.size.avg.r300","lc.shannon.div.r300","edge.dens.r300","agrar.r300","cereal.r300","legume.r300","rape.r300","special.crop.r300","cult.grassland.r300","perm.grassland.r300","wetland.r300","mire.r300","heathland.r300","margin.r300","hedge.r300","grove.r300","forest.r300","tree.avenue.r300","urban.r300","water.r300","anthrop.herb.area.r300","hanski.lcp.grasslands.r600","field.size.avg.r600","lc.shannon.div.r600","edge.dens.r600","agrar.r600","cereal.r600","legume.r600","rape.r600","special.crop.r600","cult.grassland.r600","perm.grassland.r600","wetland.r600","mire.r600","heathland.r600","margin.r600","hedge.r600","grove.r600","forest.r600","tree.avenue.r600","urban.r600","water.r600","anthrop.herb.area.r600","hanski.lcp.grasslands.r1200","field.size.avg.r1200","lc.shannon.div.r1200","edge.dens.r1200","agrar.r1200","cereal.r1200","legume.r1200","rape.r1200","special.crop.r1200","cult.grassland.r1200","perm.grassland.r1200","wetland.r1200","mire.r1200","heathland.r1200","margin.r1200","hedge.r1200","grove.r1200","forest.r1200","tree.avenue.r1200","urban.r1200","water.r1200","anthrop.herb.area.r1200"
"N_PEV",10.5233,5.3775,0.5946,321.8857,0,0,0,0,0,0,78.28,0.2398,0,0,1.0621,0.3385,0.4113,4.172,0,1.8819,1.7458,11.8337,33.2784,4.311,0.6832,291.1042,0,0,0,0,0,0,56.01,0.0599,0,0,0.8495,0.176,1.3896,9.2307,0,1.2609,25.4394,3.5956,61.1628,5.5175,1.0025,240.1063,0,0,0,0,0,0,47.12,0.0264,1.4197,0,0.6942,0.0799,1.1024,15.0648,0,4.1131,22.1584,8.4899
"N_PFE",0,0,0.0459,190.1744,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4365,0,1.8161,0,0.6759,0,0,0.0326,150.3881,0,0,0,0,0,0,0,0,0,0,0,0,0,89.6221,0,1.8925,0.1786,0.4703,1e-04,3.9456,0.3672,176.5972,0,0,0,0,0,0.8555,1.88,0,0,0,0.1361,0,0,85.2412,0,2.1062,0.0447,2.6639
"N_RAD",8.6262,5.676,0.6858,360.0879,0,0,0,0,0,0,64.66,0,0,0,0.5118,1.1084,5.6931,8.2046,0,2.8294,0.956,0.7052,15.4322,5.2283,1.1526,346.4389,0.8,0.805,0,0,0,0,29.91,0,0,0,0.73,0.4183,3.792,34.4586,0,11.2499,8.814,1.1846,22.0716,4.1586,1.5465,266.7592,16.12,16.0126,0,0,0.1034,0,14.61,0,0,0,0.8452,0.2116,2.9919,44.1306,0,7.4015,8.1795,1.0509
"N_RET",0.3826,5.455,0.8837,403.5201,0,0,0,0,0,0,42.44,0,0,0,0.3438,1.0992,5.4229,29.2753,0,3.6248,2.11,0,3.3819,4.6339,1.2369,290.2191,3.06,3.0603,0,0,0,0,31.85,0,0,0,0.5973,0.3747,3.1957,39.0274,0,3.418,9.7867,1.7443,11.1248,4.3975,1.407,262.5309,10.33,10.3173,0.0159,0,0,0,16.88,0,0,0,0.7659,0.1876,2.869,47.8914,0,7.0061,8.1777,0.8315
"N_SCH",18.6742,5.7112,0.5847,283.776,5.85,5.8505,0,0,0,0,76.5,0,0,0,0.3052,0,0,0,0,3.5276,4.3396,10.761,39.0161,4.0952,1.2084,279.1928,10.92,5.5041,5.4136,0,0,0,51.71,0,0,0,1.1166,0,0,21.6124,0,2.5833,2.3931,7.8,79.8581,4.1319,1.1981,268.1387,7.47,6.0664,1.4026,0,0,0,39.1,0.0099,0,0,0.6482,0.0083,0.2057,32.1416,0,6.024,6.6857,2.7955
"N_SMG",3.0717,4.8946,1.3686,403.2694,52.66,52.6641,0,0,0,0,40.56,0,0,0,1.6386,0.8106,1.6527,0,0.2967,0.9754,0,1.1686,11.4156,5.1258,1.8073,291.5018,45.65,38.7083,0,0,6.9422,0.0352,40.97,0,0,0,1.3487,0.3496,0.5325,3.3289,0.0915,1.2417,0,5.8156,32.9281,4.4354,2.0206,295.493,55.16,44.1522,1.3686,0,9.637,0,26.22,0,0,0,1.1217,0.2422,0.2969,8.1397,0.0229,1.2556,0.3917,5.8824
"N_STA",9.5127,11.6975,0.8616,224.4807,29.4,29.4018,0,0,0,0,56.3,2.0149,0,0,0.9659,0.2684,0,0,0,0.66,9.3863,2.5818,28.9745,9.0604,1.4605,276.5786,26.21,22.916,0.2377,3.0531,0,0,48.87,0.7303,0.6297,0,0.9578,1.2685,0.1309,0,0,0.5917,9.3695,11.654,106.6777,7.0235,1.6832,256.681,43.7,37.3068,1.034,5.3635,0,0.2506,38.89,0.4779,0.4731,0,0.7729,0.8979,0.1443,4.5892,0.0113,1.3157,3.8077,5.3104
"N_STE",13.6742,4.9645,0.8895,301.7699,14.56,14.5583,0,0,0,20.8276,64.61,0,0,0,0.1956,1.8462,0,0,0,1.4278,1.5392,0,32.3302,3.4909,1.5489,304.3997,23.07,23.0707,0,0,0,18.2402,53.56,0.3864,0.4531,0,0.7181,1.6925,0.0093,0.1097,0,3.5926,1.0441,1.1319,101.1451,2.9981,1.6103,341.123,16.44,16.4426,0,0,0,5.2285,67.31,0.2116,0.9735,0,1.092,1.4305,0.3222,2.8673,0.0467,5.4665,1.3504,0.8759
"N_TAN",0,5.0614,1.2991,359.6954,4.96,4.393,0,0,0.5659,0,0,0,0,0,0.0279,0.087,6.3397,29.7574,0,2.6925,0,32.3399,0.0013,3.9607,1.6689,282.6158,24.84,11.0556,0.0404,0,13.7463,0,1.63,0,0,0,0.007,0.5781,2.3766,37.7025,0,1.9772,0,19.7202,0.1004,3.7947,2.1193,266.4158,39.24,22.3583,1.5904,0.7872,14.5089,0.0895,3.01,0,0,0,0.1157,0.4633,1.4603,35.6059,0.0648,3.6715,0.0983,10.9757
"N_TAS",5.2402,3.1033,1.0123,393.4121,0,0,0,0,0,0,31.51,0,0,0,0.2904,0,2.828,39.6526,0,17.7928,0,2.3866,6.7337,3.325,0.6672,236.9244,0.91,0.9066,0,0,0,0,10.97,0,0,0,0.142,0.0225,0.707,70.4406,0,10.6804,0.2168,3.2991,10.5951,3.152,0.5286,188.5241,3.25,3.2486,0,0,0,0,5.31,0,0,0,0.0355,0.0455,0.3491,81.8925,0,5.0434,0.0798,2.6412
